@relation whatever

@attribute A {0,1}
@attribute S {1,0}
@attribute J {0,1}
@attribute O {0,1}
@attribute AD numeric
@attribute CC numeric
@attribute APL numeric
@attribute R {0,1}

@data
0,1,0,0,4.283019,0.694947,2.844814,0
1,0,0,0,4.37751,0.683443,2.809854,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.343164,0.684757,2.816658,0
0,1,0,0,4.360963,0.68507,2.811129,0
0,0,1,0,4.370968,0.681535,2.811269,0
0,0,1,0,4.351206,0.686563,2.806763,0
1,1,0,1,4.372654,0.683972,2.803242,1
1,0,0,0,4.379679,0.683455,2.808782,0
1,1,1,0,4.33244,0.698176,2.699013,1
1,0,0,0,4.378016,0.68335,2.810302,0
0,0,1,0,4.382353,0.683481,2.808458,0
0,0,1,0,4.372654,0.685315,2.812092,0
0,0,1,0,4.344086,0.684697,2.818411,0
1,1,0,1,4.366801,0.683972,2.803242,1
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.350267,0.685383,2.81243,0
1,1,1,1,4.221024,0.681402,2.837745,1
0,0,1,0,4.337802,0.684893,2.817294,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,1,1,0,4.328841,0.681335,2.820101,0
0,0,1,0,4.345845,0.686198,2.825951,0
0,0,1,0,4.383378,0.68304,2.809253,0
0,0,1,0,4.289933,0.696894,2.843304,0
0,0,1,0,4.374833,0.683297,2.810279,0
0,0,1,0,4.359249,0.685876,2.749313,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.372155,0.68448,2.811429,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.363636,0.684387,2.811654,0
0,0,1,0,4.372155,0.684429,2.8095,0
0,0,1,0,4.372155,0.68448,2.811429,0
0,0,1,0,4.364123,0.685257,2.811139,0
0,0,1,0,4.312248,0.6905,2.400555,0
0,0,1,0,4376,0.683414,2.807911,0
0,0,1,0,4.316779,0.693152,2.443696,0
0,0,1,0,4.360963,0.685791,2.74778,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.3607,0.680111,2.812616,0
1,1,0,1,4.361446,0.683909,2.802602,1
0,0,1,0,4.32664,0.69482,2.83198,0
0,1,0,0,4.347709,0.678097,2.81419,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.385542,0.68332,2.808582,0
1,1,0,1,4.369478,0.683904,2.805625,1
1,0,0,0,4.37751,0.685317,2.806435,0
0,1,1,1,4.323963,0.692588,2.806325,1
0,0,1,0,4.358768,0.684372,2.81398,0
1,1,1,1,4.222222,0.672743,2.835362,1
1,0,0,0,4.357527,0.68339,2.81536,0
0,1,0,0,4.383378,0.68304,2.809253,0
1,0,0,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.385027,0.683414,2.808135,0
1,0,1,0,4.385542,0.68332,2.808582,0
1,1,1,1,4.289157,0.686926,2.825366,1
0,0,1,0,4.385542,0.68332,2.808582,0
0,0,1,0,4.345382,0.68688,2.815622,0
0,0,1,0,4.37751,0.683915,2.776781,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,1,1,1,4.385542,0.68332,2.808582,1
0,0,1,0,4.378523,0.682477,2.810149,0
0,0,1,0,4.382353,0.683481,2.808458,0
0,0,1,0,4.37751,0.683915,2.776781,0
0,0,1,0,4.360963,0.685791,2.74778,0
1,0,1,0,4376,0.683414,2.807911,0
0,0,1,0,4.372155,0.68448,2.811429,0
0,0,1,0,4.381842,0.683414,2.807911,0
0,0,1,0,4.345382,0.68688,2.815622,0
0,0,1,0,4.32664,0.69482,2.83198,0
0,0,1,0,4.345382,0.68688,2.815622,0
1,1,1,1,4.27882,0.696678,2.818098,1
0,0,1,0,4376,0.683414,2.807911,0
0,0,1,0,4.374332,0.683578,2.775687,0
1,1,0,1,4.34492,0.690604,2.680538,1
0,1,0,1,4.314094,0.692496,2.75128,1
1,0,0,0,4.379679,0.684869,2.805754,0
0,0,1,0,4.361446,0.684731,2.453275,0
0,0,1,0,4.37751,0.683847,2.758878,0
0,0,1,0,4.372654,0.684335,2.474005,0
1,0,0,0,4.383378,0.68304,2.809253,0
1,1,1,1,4.327078,0.692588,2.806562,1
0,0,1,0,4.371658,0.683645,2.809175,0
0,0,1,0,4.377005,0.683335,2.809106,0
0,0,1,0,4.345382,0.68688,2.815622,0
0,0,1,0,4.360963,0.685791,2.74778,0
0,0,1,0,4.360963,0.685791,2.74778,0
0,1,1,0,4.309973,0.684926,2.826126,0
0,0,1,0,4.373154,0.682922,2.8114,0
0,0,1,0,4.372155,0.68448,2.811429,0
0,0,1,0,4.385027,0.683414,2.808135,0
0,0,1,0,4.377005,0.684211,2.809642,0
1,0,1,0,4.383378,0.68304,2.809253,0
0,1,1,1,4.327078,0.692588,2.806562,1
0,1,1,1,4.327078,0.692588,2.806562,1
1,1,1,1,4.299866,0.703624,2.695619,1
0,0,1,0,4.378523,0.682477,2.810149,0
1,1,1,1,4.299866,0.703624,2.695619,1
0,0,1,0,4.359249,0.685426,2.811361,0
1,1,0,1,4.326203,0.698268,2.698513,1
0,0,1,0,4.358768,0.685468,2.421375,0
0,0,1,0,4.372654,0.684538,2.424163,0
1,1,0,1,4.326203,0.698268,2.698513,1
0,1,0,0,4.385027,0.683414,2.808135,0
1,1,1,1,4.326203,0.696259,2.816025,1
0,1,1,1,4.265416,0.703258,2.823147,1
0,1,1,1,4.284946,0.703669,2.817448,1
1,1,1,1,4.329317,0.696259,2.816265,1
1,0,0,0,4.385542,0.68332,2.808582,0
0,1,1,1,4.310576,0.69259,2.750572,1
0,1,1,1,4.308725,0.692825,2.752227,1
0,1,1,0,4.265416,0.703258,2.823147,1
0,1,0,1,4.271505,0.703331,2.823765,1
0,0,1,0,4.385027,0.683414,2.808135,0
0,1,1,1,4.308725,0.692825,2.752227,1
0,1,1,1,4.303356,0.692872,2.752903,1
1,1,1,1,4.33244,0.698176,2.699013,1
0,1,0,1,4.331995,0.698268,2.698513,1
0,1,0,1,4.308725,0.692825,2.752227,1
1,1,1,1,4376,0.683414,2.807911,1
1,1,1,1,4376,0.683414,2.807911,1
0,1,1,0,4.345382,0.684258,2.808546,0
1,1,1,1,4.244953,0.706538,2.824368,1
1,0,1,0,4376,0.683414,2.807911,0
1,1,1,1,4.33244,0.698176,2.699013,1
0,0,1,0,4.385027,0.683414,2.808135,0
1,1,0,1,4.385027,0.683414,2.808135,1
0,0,1,0,4.385027,0.683414,2.808135,0
0,1,0,1,4376,0.683414,2.807911,1
1,0,0,0,4.376502,0.68332,2.808358,0
