EID,R,Year
2-s2.0-84903975443,0,2014
2-s2.0-84917690966,0,2014
2-s2.0-84915753417,0,2014
2-s2.0-84902306321,0,2014
2-s2.0-84904902704,0,2014
2-s2.0-84901838915,0,2014
2-s2.0-84904358201,0,2014
2-s2.0-84922959119,0,2014
2-s2.0-84914685807,0,2014
2-s2.0-84907497914,0,2014
2-s2.0-84901277048,0,2014
2-s2.0-84906337030,0,2014
2-s2.0-84904325840,0,2014
2-s2.0-84901488100,0,2014
2-s2.0-84919765298,0,2014
2-s2.0-84905046599,0,2014
2-s2.0-84901779048,0,2014
2-s2.0-84893877110,0,2014
2-s2.0-84907623437,0,2014
2-s2.0-84896321107,0,2014
2-s2.0-84919926013,0,2014
2-s2.0-84923083887,0,2014
2-s2.0-84922552763,0,2014
2-s2.0-84912530873,0,2014
2-s2.0-84903973681,0,2014
2-s2.0-84907497913,0,2014
2-s2.0-84920260956,0,2014
2-s2.0-84896498512,0,2014
2-s2.0-84904367578,0,2014
2-s2.0-84901353122,0,2014
2-s2.0-84900846692,0,2014
2-s2.0-84914693051,0,2014
2-s2.0-84907680740,0,2014
2-s2.0-84925447415,0,2014
2-s2.0-84925595714,0,2014
2-s2.0-84919642611,0,2014
2-s2.0-84908277947,0,2014
2-s2.0-84920513310,0,2014
2-s2.0-84904872619,0,2014
2-s2.0-84908277959,0,2014
2-s2.0-84910139096,0,2014
2-s2.0-84902274714,0,2014
2-s2.0-84912139902,0,2014
2-s2.0-84924285136,0,2014
2-s2.0-84919687564,0,2014
2-s2.0-84923068331,0,2014
2-s2.0-84899060067,0,2014
2-s2.0-84899945472,0,2014
2-s2.0-84919930782,0,2014
2-s2.0-84904544151,0,2014
2-s2.0-84920514424,0,2014
2-s2.0-84904306225,0,2014
2-s2.0-84921665532,0,2014
2-s2.0-84919865419,0,
2-s2.0-84914689276,0,2014
2-s2.0-84891129146,0,2013
2-s2.0-84890864656,0,2013
2-s2.0-84892162313,0,2013
2-s2.0-84888312322,0,2013
2-s2.0-84923368310,0,2015
2-s2.0-84890183432,0,2013
2-s2.0-84888799530,0,2013
2-s2.0-84890903197,0,2013
2-s2.0-84892369222,0,2013
2-s2.0-84894528740,0,2013
2-s2.0-84894222901,0,2013
2-s2.0-84897854501,0,2013
2-s2.0-84892415147,0,2013
2-s2.0-84892149379,0,2013
2-s2.0-84897838159,0,2013
2-s2.0-84889245193,0,2013
2-s2.0-84893264458,0,2013
2-s2.0-84898717855,0,2013
2-s2.0-84893753024,0,2013
2-s2.0-84892434493,0,2013
2-s2.0-84896806675,0,2013
2-s2.0-84888590596,0,2013
2-s2.0-84887618935,0,2013
2-s2.0-84887409892,0,2013
2-s2.0-84887960739,0,2013
2-s2.0-84887492755,0,2013
2-s2.0-84887955354,0,2013
2-s2.0-84896703786,0,2013
2-s2.0-84888335500,0,2013
2-s2.0-84879958525,0,2013
2-s2.0-84888255737,0,2013
2-s2.0-84888248597,0,2013
2-s2.0-84886004520,0,2013
2-s2.0-84886903433,0,2013
2-s2.0-84885183097,0,2013
2-s2.0-84891147005,0,2013
2-s2.0-84887086430,0,2013
2-s2.0-84886657062,0,2013
2-s2.0-84878952868,0,2013
2-s2.0-84886287000,0,2013
2-s2.0-84886241215,0,2013
2-s2.0-84884684957,0,2013
2-s2.0-84883052852,0,2013
2-s2.0-84884674007,0,2013
2-s2.0-84892974463,0,2013
2-s2.0-84884885069,0,2013
2-s2.0-84884830354,0,2013
2-s2.0-84886379432,0,2013
2-s2.0-84884863452,0,2013
2-s2.0-84884838959,0,2013
2-s2.0-84884881472,0,2013
2-s2.0-84884830336,0,2013
2-s2.0-84884862190,0,2013
2-s2.0-84884853838,0,2013
2-s2.0-84884846162,0,2013
2-s2.0-84884893201,0,2013
2-s2.0-84883698982,0,2013
2-s2.0-84884523667,0,2013
2-s2.0-84884933083,0,2013
2-s2.0-84883120805,0,2013
2-s2.0-84883091292,0,2013
2-s2.0-84883824987,0,2013
2-s2.0-84889682330,0,2013
2-s2.0-84888432468,0,2013
2-s2.0-84885944582,0,2013
2-s2.0-84882420028,0,2013
2-s2.0-84883377592,0,2013
2-s2.0-84882269554,0,2013
2-s2.0-84881656539,0,2013
2-s2.0-84881396449,0,2013
2-s2.0-84884843297,0,2013
2-s2.0-84881126592,0,2013
2-s2.0-84882435757,0,2013
2-s2.0-84880864363,0,2013
2-s2.0-84885179240,0,2013
2-s2.0-84883482433,0,2013
2-s2.0-84875752621,0,2013
2-s2.0-84879677454,0,2013
2-s2.0-84877685822,0,2013
2-s2.0-84881309207,0,2013
2-s2.0-84882827785,0,2013
2-s2.0-84880345266,0,2013
2-s2.0-84880266581,0,2013
2-s2.0-84880698637,0,2013
2-s2.0-84880698321,0,2013
2-s2.0-84879757088,0,2013
2-s2.0-84879706424,0,2013
2-s2.0-84879701925,0,2013
2-s2.0-84888391165,0,2013
2-s2.0-84879998439,0,2013
2-s2.0-84879784516,0,2013
2-s2.0-84881612066,0,2013
2-s2.0-84885585430,0,2013
2-s2.0-84877921607,0,2013
2-s2.0-84879534603,0,2013
2-s2.0-84878789608,0,2013
2-s2.0-84878932561,0,2013
2-s2.0-84878920180,0,2013
2-s2.0-84878947144,0,2013
2-s2.0-84879651168,0,2013
2-s2.0-84879097694,0,2013
2-s2.0-84879147171,0,2013
2-s2.0-84873705026,0,2013
2-s2.0-84878167971,0,2013
2-s2.0-84878813421,0,2013
2-s2.0-84878799493,0,2013
2-s2.0-84879318857,0,2013
2-s2.0-84878587786,0,2013
2-s2.0-84877954931,0,2013
2-s2.0-84878483930,0,2013
2-s2.0-84878591980,0,2013
2-s2.0-84878985546,0,2013
2-s2.0-84887980002,0,2013
2-s2.0-84875803592,0,2013
2-s2.0-84876986000,0,2013
2-s2.0-84876279103,0,2013
2-s2.0-84876249110,0,2013
2-s2.0-84876195229,0,2013
2-s2.0-84876186237,0,2013
2-s2.0-84876217726,0,2013
2-s2.0-84876193616,0,2013
2-s2.0-84876194276,0,2013
2-s2.0-84878504500,0,2013
2-s2.0-84874946693,0,2013
2-s2.0-84879444957,0,2013
2-s2.0-84877113986,0,2013
2-s2.0-84877747346,0,2013
2-s2.0-84876004787,0,2013
2-s2.0-84875690670,0,2013
2-s2.0-84876433344,0,2013
2-s2.0-84875142370,0,2013
2-s2.0-84874969662,0,2013
2-s2.0-84878679945,0,2013
2-s2.0-84873414570,0,2013
2-s2.0-84877731720,0,2013
2-s2.0-84872389337,0,2013
2-s2.0-84875546758,0,2013
2-s2.0-84873570259,0,2013
2-s2.0-84874521394,0,2013
2-s2.0-84874261490,0,2013
2-s2.0-84873949261,0,2013
2-s2.0-84874184333,0,2013
2-s2.0-84873928728,0,2013
2-s2.0-84874131409,0,2013
2-s2.0-84874159070,0,2013
2-s2.0-84868456636,0,2013
2-s2.0-84873169344,0,2013
2-s2.0-84873420545,0,2013
2-s2.0-84876341781,0,2013
2-s2.0-84873364876,0,2013
2-s2.0-84873806943,0,2013
2-s2.0-84868200552,0,2013
2-s2.0-84872517683,0,2013
2-s2.0-84873685933,0,2013
2-s2.0-84872493366,0,2013
2-s2.0-84872472102,0,2013
2-s2.0-84872446070,0,2013
2-s2.0-84872458921,0,2013
2-s2.0-84873144214,0,2013
2-s2.0-84872729726,0,2013
2-s2.0-84872228579,0,2013
2-s2.0-84871538768,0,2013
2-s2.0-84872241828,0,2013
2-s2.0-84871596234,0,2013
2-s2.0-84871556297,0,2013
2-s2.0-84871577142,0,2013
2-s2.0-84872736459,0,2013
2-s2.0-84872045711,0,2013
2-s2.0-84925794665,0,2013
2-s2.0-84884930264,0,2013
2-s2.0-84900325414,0,2013
2-s2.0-84870991829,0,2013
2-s2.0-84924346276,0,2013
2-s2.0-84896400418,0,2013
2-s2.0-84899676741,0,2013
2-s2.0-84876013392,0,2013
2-s2.0-84866173518,0,2013
2-s2.0-84871011258,0,2013
2-s2.0-84900326446,0,2013
2-s2.0-84907332882,0,2013
2-s2.0-84896973681,0,2013
2-s2.0-84885774603,0,2013
2-s2.0-84924419690,0,2013
2-s2.0-84896916127,0,2013
2-s2.0-84866176421,0,2013
2-s2.0-84871677143,0,2013
2-s2.0-84890841813,0,2013
2-s2.0-84871775851,0,2012
2-s2.0-84871553223,0,2012
2-s2.0-84873135424,0,2012
2-s2.0-84871203513,0,2012
2-s2.0-84871439297,0,2012
2-s2.0-84869798260,0,2012
2-s2.0-84869800109,0,2012
2-s2.0-84869885882,0,2012
2-s2.0-84869789929,0,2012
2-s2.0-84873192191,0,2012
2-s2.0-84878543346,0,2012
2-s2.0-84869053545,0,2012
2-s2.0-84872959464,0,2012
2-s2.0-84877948606,0,2012
2-s2.0-84874919881,0,2012
2-s2.0-84868208576,0,2012
2-s2.0-84878616721,0,2012
2-s2.0-84885227542,0,2012
2-s2.0-84873460599,0,2012
2-s2.0-84871201341,0,2012
2-s2.0-84872850554,0,2012
2-s2.0-84874699556,0,2012
2-s2.0-84878514636,0,2012
2-s2.0-84870363966,0,2012
2-s2.0-84872822722,0,2012
2-s2.0-84878561182,0,2012
2-s2.0-84863840797,0,2012
2-s2.0-84868669545,0,2012
2-s2.0-84861417003,0,2012
2-s2.0-84878196354,0,2012
2-s2.0-84879548641,0,2012
2-s2.0-84870196812,0,2012
2-s2.0-84870570833,0,2012
2-s2.0-84870216988,0,2012
2-s2.0-84868200489,0,2012
2-s2.0-84868541278,0,2012
2-s2.0-84869098223,0,2012
2-s2.0-84868145960,0,2012
2-s2.0-84875146631,0,2012
2-s2.0-84869490620,0,2012
2-s2.0-84865695092,0,2012
2-s2.0-84865679645,0,2012
2-s2.0-84863983911,0,2012
2-s2.0-84869489525,0,2012
2-s2.0-84882288454,0,2012
2-s2.0-84867376000,0,2012
2-s2.0-84867677501,0,2012
2-s2.0-84868018747,0,2012
2-s2.0-84868117540,0,2012
2-s2.0-84868024295,0,2012
2-s2.0-84867350302,0,2012
2-s2.0-84867298912,0,2012
2-s2.0-84874529817,0,2012
2-s2.0-84874523974,0,2012
2-s2.0-84866989601,0,2012
2-s2.0-84867010735,0,2012
2-s2.0-84867447145,0,2012
2-s2.0-84867039336,0,2012
2-s2.0-84867176053,0,2012
2-s2.0-84868533109,0,2012
2-s2.0-84874367463,0,2012
2-s2.0-84867460642,0,2012
2-s2.0-84867144592,0,2012
2-s2.0-84867060039,0,2012
2-s2.0-84866719182,0,2012
2-s2.0-84866662104,0,2012
2-s2.0-84866712795,0,2012
2-s2.0-84866707211,0,2012
2-s2.0-84865852559,0,2012
2-s2.0-84865863416,0,2012
2-s2.0-84866235319,0,2012
2-s2.0-84865786005,0,2012
2-s2.0-84865725225,0,2012
2-s2.0-84865788601,0,2012
2-s2.0-84865848291,0,2012
2-s2.0-84865837728,0,2012
2-s2.0-84866373774,0,2012
2-s2.0-84865759750,0,2012
2-s2.0-84865625730,0,2012
2-s2.0-84865576402,0,2012
2-s2.0-84878239571,0,2012
2-s2.0-84861209319,0,2012
2-s2.0-84867858620,0,2012
2-s2.0-84865345178,0,2012
2-s2.0-84865265984,0,2012
2-s2.0-84865127716,0,2012
2-s2.0-84865250631,0,2012
2-s2.0-84864866858,0,2012
2-s2.0-84865207368,0,2012
2-s2.0-84865245032,0,2012
2-s2.0-84865230589,0,2012
2-s2.0-84864510550,0,2012
2-s2.0-84864497746,0,2012
2-s2.0-84864527198,0,2012
2-s2.0-84865102065,0,2012
2-s2.0-84864632308,0,2012
2-s2.0-84864485432,0,2012
2-s2.0-84864461222,0,2012
2-s2.0-84864459915,0,2012
2-s2.0-84864398118,0,2012
2-s2.0-84864416478,0,2012
2-s2.0-84864414585,0,2012
2-s2.0-84864405395,0,2012
2-s2.0-84866346175,0,2012
2-s2.0-84864750914,0,2012
2-s2.0-84864546124,0,2012
2-s2.0-84864002301,0,2012
2-s2.0-84863473198,0,2012
2-s2.0-84891583374,0,2012
2-s2.0-84863797961,0,2012
2-s2.0-84862657119,0,2012
2-s2.0-84870265299,0,2012
2-s2.0-84864050697,0,2012
2-s2.0-84859502674,0,2012
2-s2.0-84864073668,0,2012
2-s2.0-84863921449,0,2012
2-s2.0-84863223807,0,2012
2-s2.0-84863192612,0,2012
2-s2.0-84862891142,0,2012
2-s2.0-84861811455,0,2012
2-s2.0-84862860937,0,2012
2-s2.0-84861512051,0,2012
2-s2.0-84861976852,0,2012
2-s2.0-84862298998,0,2012
2-s2.0-84861856518,0,2012
2-s2.0-84861841526,0,2012
2-s2.0-84862288018,0,2012
2-s2.0-84861310639,0,2012
2-s2.0-84862502148,0,2012
2-s2.0-84864117655,0,2012
2-s2.0-84865522949,0,2012
2-s2.0-84861929368,0,2012
2-s2.0-84861732067,0,2012
2-s2.0-84860762791,0,2012
2-s2.0-84860746957,0,2012
2-s2.0-84860446318,0,2012
2-s2.0-84860377762,0,2012
2-s2.0-84860738458,0,2012
2-s2.0-84860360064,0,2012
2-s2.0-84860650393,0,2012
2-s2.0-84858794732,0,2012
2-s2.0-84859723346,0,2012
2-s2.0-84859421695,0,2012
2-s2.0-84862313330,0,2012
2-s2.0-84860492123,0,2012
2-s2.0-84862829643,0,2012
2-s2.0-84862786330,0,2012
2-s2.0-84859589443,0,2012
2-s2.0-84863337554,0,2012
2-s2.0-84859798075,0,2012
2-s2.0-84859336592,0,2012
2-s2.0-84863337652,0,2012
2-s2.0-84863375147,0,2012
2-s2.0-84861537880,0,2012
2-s2.0-84861345520,0,2012
2-s2.0-84859595749,0,2012
2-s2.0-84864122044,0,2012
2-s2.0-84858216735,0,2012
2-s2.0-84858284161,0,2012
2-s2.0-84859293957,0,2012
2-s2.0-84863337810,0,2012
2-s2.0-84863337848,0,2012
2-s2.0-84859044732,0,2012
2-s2.0-84859198127,0,2012
2-s2.0-84862587144,0,2012
2-s2.0-84862864107,0,2012
2-s2.0-84863116076,0,2012
2-s2.0-84863373735,0,2012
2-s2.0-84863255749,0,2012
2-s2.0-84861739630,0,2012
2-s2.0-84862793387,0,2012
2-s2.0-84857627543,0,2012
2-s2.0-84861584934,0,2012
2-s2.0-84863173450,0,2012
2-s2.0-84863260119,0,2012
2-s2.0-84863163078,0,2012
2-s2.0-84863230388,0,2012
2-s2.0-84655176803,0,2012
2-s2.0-84862777372,0,2012
2-s2.0-84863230000,0,2012
2-s2.0-84859961241,0,2012
2-s2.0-84855681667,0,2012
2-s2.0-84857910348,0,2012
2-s2.0-84856668763,0,2012
2-s2.0-84863011961,0,2012
2-s2.0-84862871887,0,2012
2-s2.0-84857791522,0,2012
2-s2.0-84862918088,0,2012
2-s2.0-84900312419,0,2012
2-s2.0-84856011523,0,2012
2-s2.0-84863166738,0,2012
2-s2.0-84863171205,0,2012
2-s2.0-84864682881,0,2012
2-s2.0-83555179196,0,2012
2-s2.0-84900305094,0,2012
2-s2.0-84856584220,0,2012
2-s2.0-84855337715,0,2011
2-s2.0-84855282498,0,2011
2-s2.0-83655165299,0,2011
2-s2.0-84855302873,0,2011
2-s2.0-84855305962,0,2011
2-s2.0-84856603768,0,2011
2-s2.0-84894148501,0,2011
2-s2.0-84885045603,0,2011
2-s2.0-84863425861,0,2011
2-s2.0-84863420888,0,2011
2-s2.0-84861120561,0,2011
2-s2.0-84863282065,0,2011
2-s2.0-83755220661,0,2011
2-s2.0-84865748715,0,2011
2-s2.0-84857489365,0,2011
2-s2.0-84858231143,0,2011
2-s2.0-84857227022,0,2011
2-s2.0-84883111602,0,2011
2-s2.0-80053158448,0,2011
2-s2.0-81855186006,0,2011
2-s2.0-80053167782,0,2011
2-s2.0-81555226870,0,2011
2-s2.0-81555215498,0,2011
2-s2.0-81855177182,0,2011
2-s2.0-81255176591,0,2011
2-s2.0-81255144586,0,2011
2-s2.0-82555170336,0,2011
2-s2.0-80755167717,0,2011
2-s2.0-82955217628,0,2011
2-s2.0-80855144766,0,2011
2-s2.0-80855144764,0,2011
2-s2.0-81055124109,0,2011
2-s2.0-80455150513,0,2011
2-s2.0-82955189143,0,2011
2-s2.0-80052598185,0,2011
2-s2.0-80155205577,0,2011
2-s2.0-83155176925,0,2011
2-s2.0-80053578510,0,2011
2-s2.0-80053610428,0,2011
2-s2.0-80053592034,0,2011
2-s2.0-80053167847,0,2011
2-s2.0-80053204870,0,2011
2-s2.0-80555134690,0,2011
2-s2.0-80053406440,0,2011
2-s2.0-80053156502,0,2011
2-s2.0-80053400657,0,2011
2-s2.0-80053395960,0,2011
2-s2.0-80053362057,0,2011
2-s2.0-80053618740,0,2011
2-s2.0-80053603733,0,2011
2-s2.0-79956108372,0,2011
2-s2.0-80051950473,0,2011
2-s2.0-80053132993,0,2011
2-s2.0-80055064606,0,2011
2-s2.0-80054014357,0,2011
2-s2.0-80053585732,0,2011
2-s2.0-80052515138,0,2011
2-s2.0-80053230881,0,2011
2-s2.0-80053589735,0,2011
2-s2.0-80052826585,0,2011
2-s2.0-80053462737,0,2011
2-s2.0-80052188421,0,2011
2-s2.0-80052782595,0,2011
2-s2.0-80053983403,0,2011
2-s2.0-79251649081,0,2011
2-s2.0-82655167518,0,2011
2-s2.0-80052196131,0,2011
2-s2.0-80051558943,0,2011
2-s2.0-80052257784,0,2011
2-s2.0-80052002907,0,2011
2-s2.0-84860388801,0,2011
2-s2.0-80052186915,0,2011
2-s2.0-80052631052,0,2011
2-s2.0-80052621982,0,2011
2-s2.0-79960556635,0,2011
2-s2.0-79958090984,0,2011
2-s2.0-79955587970,0,2011
2-s2.0-79958097199,0,2011
2-s2.0-79957940888,0,2011
2-s2.0-80053497122,0,2011
2-s2.0-79961115928,0,2011
2-s2.0-79961108516,0,2011
2-s2.0-79960179054,0,2011
2-s2.0-79961059613,0,2011
2-s2.0-79961042403,0,2011
2-s2.0-79960652969,0,2011
2-s2.0-79960155481,0,2011
2-s2.0-79961122561,0,2011
2-s2.0-79960355409,0,2011
2-s2.0-79961070484,0,2011
2-s2.0-79961088800,0,2011
2-s2.0-79960348406,0,2011
2-s2.0-79958121245,0,2011
2-s2.0-79957695332,0,2011
2-s2.0-84864469048,0,2011
2-s2.0-79961101424,0,2011
2-s2.0-79961114460,0,2011
2-s2.0-79959296784,0,2011
2-s2.0-79960775472,0,2011
2-s2.0-79960807447,0,2011
2-s2.0-79960169817,0,2011
2-s2.0-84890990451,0,2011
2-s2.0-79960821071,0,2011
2-s2.0-79961237502,0,2011
2-s2.0-80052742174,0,2011
2-s2.0-79961079527,0,2011
2-s2.0-79960817642,0,2011
2-s2.0-79960795406,0,2011
2-s2.0-79960813380,0,2011
2-s2.0-79956040248,0,2011
2-s2.0-79959192814,0,2011
2-s2.0-84874800495,0,2011
2-s2.0-84874813685,0,2011
2-s2.0-79954535958,0,2011
2-s2.0-79960756408,0,2011
2-s2.0-79954933223,0,2011
2-s2.0-79954430503,0,2011
2-s2.0-79954448669,0,2011
2-s2.0-79957598632,0,2011
2-s2.0-79960689443,0,2011
2-s2.0-79954595387,0,2011
2-s2.0-79951680458,0,2011
2-s2.0-79953014406,0,2011
2-s2.0-79952741502,0,2011
2-s2.0-79953214937,0,2011
2-s2.0-84895408790,0,2011
2-s2.0-80053909748,0,2011
2-s2.0-79952700080,0,2011
2-s2.0-79952670619,0,2011
2-s2.0-79960778364,0,2011
2-s2.0-79952920916,0,2011
2-s2.0-79952908681,0,2011
2-s2.0-79952173203,0,2011
2-s2.0-79952770021,0,2011
2-s2.0-84857775242,0,2011
2-s2.0-79952733065,0,2011
2-s2.0-79952287495,0,2011
2-s2.0-79952285446,0,2011
2-s2.0-79952001490,0,2011
2-s2.0-79952308671,0,2011
2-s2.0-78951478803,0,2011
2-s2.0-78651497327,0,2011
2-s2.0-78650386377,0,2011
2-s2.0-78651309414,0,2011
2-s2.0-78651324084,0,2011
2-s2.0-78650308895,0,2011
2-s2.0-78650308732,0,2011
2-s2.0-84923409985,0,2011
2-s2.0-80053133985,0,2011
2-s2.0-84923412492,0,2011
2-s2.0-84923436812,0,2011
2-s2.0-84923519554,0,2011
2-s2.0-84923425490,0,2011
2-s2.0-84900341923,0,2011
2-s2.0-79959504373,0,2011
2-s2.0-82255190658,0,2011
2-s2.0-81555210082,0,2011
2-s2.0-84924084912,0,2011
2-s2.0-78650553319,0,2010
2-s2.0-78650107709,0,2010
2-s2.0-78649809111,0,2010
2-s2.0-78651536409,0,2010
2-s2.0-78651578163,0,2010
2-s2.0-78651585421,0,2010
2-s2.0-78649517090,0,2010
2-s2.0-84887938037,1,2010
2-s2.0-79953271238,0,2010
2-s2.0-84887831819,1,2010
2-s2.0-79953270700,0,2010
2-s2.0-84867338077,0,2010
2-s2.0-78751663969,0,2010
2-s2.0-79951493861,0,2010
2-s2.0-84858652794,1,2010
2-s2.0-79251482489,1,2010
2-s2.0-78649792580,1,2010
2-s2.0-78650583003,0,2010
2-s2.0-79953291716,0,2010
2-s2.0-79955552050,0,2010
2-s2.0-78650567845,0,2010
2-s2.0-84855497081,0,2010
2-s2.0-79953269929,0,2010
2-s2.0-78651432547,0,2010
2-s2.0-79953284237,0,2010
2-s2.0-79951781401,0,2010
2-s2.0-78650528777,0,2010
2-s2.0-79953292228,0,2010
2-s2.0-80052268825,0,2010
2-s2.0-78649702159,0,2010
2-s2.0-79953291835,0,2010
2-s2.0-79953292010,0,2010
2-s2.0-78650529467,0,2010
2-s2.0-79953288183,0,2010
2-s2.0-79953271786,0,2010
2-s2.0-84861873705,0,2010
2-s2.0-79953272770,0,2010
2-s2.0-79952390610,0,2010
2-s2.0-79952389473,0,2010
2-s2.0-84887952594,0,2010
2-s2.0-79953278483,0,2010
2-s2.0-80051983681,0,2010
2-s2.0-79952934839,0,2010
2-s2.0-79951828670,0,2010
2-s2.0-79953281768,0,2010
2-s2.0-78049331681,0,2010
2-s2.0-78649373180,0,2010
2-s2.0-78649373221,0,2010
2-s2.0-78649377803,0,2010
2-s2.0-78649389437,0,2010
2-s2.0-78149367744,0,2010
2-s2.0-77951107511,1,2010
2-s2.0-78649888144,0,2010
2-s2.0-78649857228,0,2010
2-s2.0-79959416804,0,2010
2-s2.0-78649855184,0,2010
2-s2.0-78649867010,0,2010
2-s2.0-78651095764,0,2010
2-s2.0-77957298094,0,2010
2-s2.0-77957304947,0,2010
2-s2.0-77957291414,0,2010
2-s2.0-77957319294,0,2010
2-s2.0-77957583010,0,2010
2-s2.0-78049492966,0,2010
2-s2.0-77957359935,0,2010
2-s2.0-78049463641,1,2010
2-s2.0-78651529570,0,2010
2-s2.0-78651255602,0,2010
2-s2.0-78651525087,0,2010
2-s2.0-77957001869,0,2010
2-s2.0-77956637275,0,2010
2-s2.0-77956391553,0,2010
2-s2.0-77956892822,0,2010
2-s2.0-77956921058,0,2010
2-s2.0-77956342127,0,2010
2-s2.0-77956862624,0,2010
2-s2.0-77956867193,0,2010
2-s2.0-77955705234,0,2010
2-s2.0-77955339191,0,2010
2-s2.0-77955569934,0,2010
2-s2.0-78349268079,1,2010
2-s2.0-77955464195,0,2010
2-s2.0-77955270640,0,2010
2-s2.0-77958585023,0,2010
2-s2.0-77953133965,0,2010
